Year,Month,Day,Day Number,Dunstaffnage,Barcaldine,Inverawe,Weisdale,Lerwick
 1970.0,    6.0,   30.0,  181.0,    4.1,    9.1,    2.8,    0.1,    2.1
 1970.0,    7.0,    1.0,  182.0,   20.7,   14.1,    6.4,   28.7,    2.8
 1970.0,    7.0,    2.0,  183.0,    6.3,    3.0,    4.2,    8.2,    3.7
 1970.0,    7.0,    3.0,  184.0,    3.2,    3.7,    3.7,    0.4,    0.6
 1970.0,    7.0,    4.0,  185.0,    1.8,    3.4,    2.6,    0.3,    0.8
 1970.0,    7.0,    5.0,  186.0,    2.9,    2.9,    3.0,    2.7,    2.6
 1970.0,    7.0,    6.0,  187.0,    3.8,    5.1,    4.5,    1.2,    0.6
 1970.0,    7.0,    7.0,  188.0,    2.1,    3.8,    2.1,    1.9,    2.6
 1970.0,    7.0,    8.0,  189.0,    2.6,    4.5,    3.4,    1.5,    4.7
 1970.0,    7.0,    9.0,  190.0,    4.1,    4.5,    3.7,    2.1,    2.7
 1970.0,    7.0,   10.0,  191.0,    3.1,    4.7,    4.6,    2.2,    1.9
 1970.0,    7.0,   11.0,  192.0,    3.4,    6.0,    7.3,    2.9,    2.7
 1970.0,    7.0,   12.0,  193.0,    3.3,    5.4,    4.0,    0.7,    1.2
 1970.0,    7.0,   13.0,  194.0,    2.8,    3.4,    3.0,    1.4,    0.5
 1970.0,    7.0,   14.0,  195.0,    1.5,    1.0,    2.3,    1.2,    2.1
 1970.0,    7.0,   15.0,  196.0,    2.7,    2.1,    2.9,    1.3,    0.8
 1970.0,    7.0,   16.0,  197.0,    4.8,    4.8,    3.5,    0.1,    0.1
 1970.0,    7.0,   17.0,  198.0,    2.7,    4.2,    3.9,    2.4,    1.7
 1970.0,    7.0,   18.0,  199.0,    2.8,    2.9,    3.3,    1.9,    1.7
 1970.0,    7.0,   19.0,  200.0,    2.7,    2.1,    2.2,    2.2,    1.1
 1970.0,    7.0,   20.0,  201.0,    3.0,    4.3,    4.0,    0.3,    0.5
 1970.0,    7.0,   21.0,  202.0,    4.2,    1.5,    1.8,    0.0,    2.0
 1970.0,    7.0,   22.0,  203.0,    2.9,    2.7,    4.2,    0.9,    2.4
 1970.0,    7.0,   23.0,  204.0,    7.4,    6.0,    5.6,    1.3,    2.9
 1970.0,    7.0,   24.0,  205.0,    4.6,    5.0,    6.6,    0.9,    2.5
 1970.0,    7.0,   25.0,  206.0,    2.9,    4.2,    3.5,    2.4,    1.7
 1970.0,    7.0,   26.0,  207.0,    6.1,   11.2,    6.6,    4.5,    2.5
 1970.0,    7.0,   27.0,  208.0,    6.2,    6.0,    4.8,    2.9,    1.2
 1970.0,    7.0,   28.0,  209.0,    5.3,    6.5,    4.9,    2.5,    0.6
 1970.0,    7.0,   29.0,  210.0,    2.3,    3.0,    3.2,    2.2,    1.6
 1970.0,    7.0,   30.0,  211.0,    2.2,    4.6,    3.5,    4.8,    1.2
 1970.0,    7.0,   31.0,  212.0,    3.0,    5.4,    4.0,    2.2,    1.8
 1970.0,    8.0,    1.0,  213.0,   16.4,   12.2,    6.3,    1.5,    1.3
 1970.0,    8.0,    2.0,  214.0,    3.8,    5.0,    3.7,    4.5,    2.0
 1970.0,    8.0,    3.0,  215.0,    3.3,    5.6,    4.0,    0.5,    2.5
 1970.0,    8.0,    4.0,  216.0,    3.9,    3.6,    3.5,    0.8,    3.5
 1970.0,    8.0,    5.0,  217.0,    2.9,    3.9,    3.3,    0.4,    1.7
 1970.0,    8.0,    6.0,  218.0,    5.2,    4.4,    4.9,    1.5,    2.4
 1970.0,    8.0,    7.0,  219.0,    2.1,    1.6,    3.4,    0.8,    0.3
 1970.0,    8.0,    8.0,  220.0,    1.1,    2.1,    1.8,    1.1,    0.8
 1970.0,    8.0,    9.0,  221.0,    4.4,    8.0,    5.5,    3.9,    2.1
 1970.0,    8.0,   10.0,  222.0,    1.2,    2.4,    2.5,    7.2,    6.2
 1970.0,    8.0,   11.0,  223.0,    3.3,    3.0,    3.4,    0.6,    0.4
 1970.0,    8.0,   12.0,  224.0,    4.7,    4.7,    4.6,    0.1,    2.3
 1970.0,    8.0,   13.0,  225.0,    5.2,    6.3,    4.6,    0.1,    0.7
 1970.0,    8.0,   14.0,  226.0,    5.7,    7.0,    4.6,    0.3,    4.2
 1970.0,    8.0,   15.0,  227.0,    5.6,    6.1,    6.2,    1.3,    2.7
 1970.0,    8.0,   16.0,  228.0,    6.1,    8.0,    5.8,    0.1,    1.2
 1970.0,    8.0,   17.0,  229.0,    4.9,    8.6,    5.8,    0.7,    0.8
 1970.0,    8.0,   18.0,  230.0,    3.0,    4.0,    3.3,    6.5,    1.8
 1970.0,    8.0,   19.0,  231.0,    3.0,    3.1,    5.0,   11.8,   10.2
 1970.0,    8.0,   20.0,  232.0,    7.2,    6.9,    5.2,    3.1,    5.1
 1970.0,    8.0,   21.0,  233.0,    4.7,    4.8,    5.4,    2.3,    3.0
 1970.0,    8.0,   22.0,  234.0,    2.1,    2.9,    3.2,    1.5,    1.6
 1970.0,    8.0,   23.0,  235.0,    4.7,    3.7,    3.9,    0.3,    1.1
 1970.0,    8.0,   24.0,  236.0,    4.7,    4.8,    4.2,    3.7,    2.9
 1970.0,    8.0,   25.0,  237.0,    2.6,    2.8,    3.5,    3.1,    1.6
 1970.0,    8.0,   26.0,  238.0,    3.0,    3.2,    4.0,    0.3,    3.5
 1970.0,    8.0,   27.0,  239.0,    2.9,    4.2,    3.4,    5.8,    4.4
 1970.0,    8.0,   28.0,  240.0,    4.6,    5.6,    4.0,    3.8,    1.5
 1970.0,    8.0,   29.0,  241.0,    4.4,    5.1,    5.3,    4.3,    1.7
 1970.0,    8.0,   30.0,  242.0,    4.6,    5.5,    4.6,    2.5,    2.4
 1970.0,    8.0,   31.0,  243.0,    4.7,    4.8,    5.2,    1.1,    0.7
 1970.0,    9.0,    1.0,  244.0,   15.0,   15.3,    7.7,   11.6,    6.7
 1970.0,    9.0,    2.0,  245.0,    4.2,    6.4,    5.4,    1.5,    3.0
 1970.0,    9.0,    3.0,  246.0,    6.6,    9.5,    6.4,    0.7,    1.8
 1970.0,    9.0,    4.0,  247.0,    4.8,    5.3,    3.3,    1.9,    1.5
 1970.0,    9.0,    5.0,  248.0,    5.2,    6.0,    5.8,    0.6,    2.3
 1970.0,    9.0,    6.0,  249.0,    5.0,    7.5,    6.0,    5.9,    3.4
 1970.0,    9.0,    7.0,  250.0,    5.1,    5.7,    6.8,    4.7,    7.0
 1970.0,    9.0,    8.0,  251.0,    4.6,    6.4,    5.1,    2.1,    3.9
 1970.0,    9.0,    9.0,  252.0,    5.8,    6.6,    7.3,    2.5,    2.6
 1970.0,    9.0,   10.0,  253.0,    6.5,    7.2,    7.1,    0.9,    1.1
 1970.0,    9.0,   11.0,  254.0,    4.8,    7.6,    7.5,    0.1,    0.3
 1970.0,    9.0,   12.0,  255.0,    4.4,    6.5,    6.0,    2.4,    2.8
 1970.0,    9.0,   13.0,  256.0,   10.7,    8.9,    7.3,    3.4,    4.5
 1970.0,    9.0,   14.0,  257.0,    7.2,    8.4,    5.5,    2.7,    6.2
 1970.0,    9.0,   15.0,  258.0,    4.4,    5.3,    4.8,    1.2,    1.4
 1970.0,    9.0,   16.0,  259.0,    2.9,    3.7,    3.1,    2.6,    2.0
 1970.0,    9.0,   17.0,  260.0,    4.5,    5.2,    6.2,    3.0,    3.1
 1970.0,    9.0,   18.0,  261.0,    4.4,    6.5,    6.3,    0.9,    4.1
 1970.0,    9.0,   19.0,  262.0,    7.1,    5.7,    5.3,    8.7,    3.8
 1970.0,    9.0,   20.0,  263.0,    6.0,    6.7,    9.2,    5.8,    3.3
 1970.0,    9.0,   21.0,  264.0,    7.3,    6.7,    6.4,    6.4,    6.5
 1970.0,    9.0,   22.0,  265.0,    5.5,    6.7,    9.2,    3.0,    5.0
 1970.0,    9.0,   23.0,  266.0,    5.3,    4.9,    4.0,    2.1,    3.7
 1970.0,    9.0,   24.0,  267.0,    5.7,    6.2,    6.7,    2.8,    2.4
 1970.0,    9.0,   25.0,  268.0,    8.3,    5.1,    5.9,   11.1,    5.7
 1970.0,    9.0,   26.0,  269.0,    4.1,    4.9,    4.7,    9.8,    4.1
 1970.0,    9.0,   27.0,  270.0,    6.5,    6.7,    5.6,    2.2,    4.2
 1970.0,    9.0,   28.0,  271.0,    6.1,    7.0,    6.3,    1.9,    5.7
 1970.0,    9.0,   29.0,  272.0,    5.7,    7.5,    8.3,    0.3,    3.5
 1970.0,    9.0,   30.0,  273.0,    5.2,    5.9,    4.7,    1.9,    4.4
 1970.0,   10.0,    1.0,  274.0,   30.1,    9.5,   21.8,    3.2,    4.8
 1970.0,   10.0,    2.0,  275.0,    7.6,    7.4,    7.1,    0.8,    0.9
 1970.0,   10.0,    3.0,  276.0,    5.5,    9.0,    7.2,    2.8,    3.9
 1970.0,   10.0,    4.0,  277.0,    5.8,    8.4,    9.2,    6.0,    4.1
 1970.0,   10.0,    5.0,  278.0,    8.0,   12.1,    8.1,    6.8,    3.8
 1970.0,   10.0,    6.0,  279.0,    8.0,    9.4,    9.1,    3.8,    2.1
 1970.0,   10.0,    7.0,  280.0,    5.8,    7.1,    6.4,    6.6,    3.0
 1970.0,   10.0,    8.0,  281.0,    6.4,    5.4,    5.6,    4.9,    5.2
 1970.0,   10.0,    9.0,  282.0,    5.0,    7.4,    5.8,    1.8,    3.4
 1970.0,   10.0,   10.0,  283.0,    5.0,    6.4,    7.6,    3.2,    5.2
 1970.0,   10.0,   11.0,  284.0,    3.3,    5.6,    3.5,    1.1,    6.4
 1970.0,   10.0,   12.0,  285.0,    3.4,    5.8,    6.0,    2.8,    6.2
 1970.0,   10.0,   13.0,  286.0,    2.7,    3.6,    4.2,    9.6,    4.0
 1970.0,   10.0,   14.0,  287.0,    2.7,    3.1,    3.6,    2.8,    1.6
 1970.0,   10.0,   15.0,  288.0,    4.4,    5.3,    5.1,    1.5,    2.5
 1970.0,   10.0,   16.0,  289.0,    6.0,    8.3,    5.5,    1.4,    0.8
 1970.0,   10.0,   17.0,  290.0,    8.8,    7.0,    6.3,    1.3,    1.1
 1970.0,   10.0,   18.0,  291.0,    6.2,    7.2,    6.4,    0.7,    2.1
 1970.0,   10.0,   19.0,  292.0,   11.6,    7.9,    6.6,    3.7,    2.8
 1970.0,   10.0,   20.0,  293.0,    9.9,    7.4,    6.8,    4.9,    3.8
 1970.0,   10.0,   21.0,  294.0,    3.2,    5.3,    5.7,    5.4,    4.7
 1970.0,   10.0,   22.0,  295.0,    9.7,    8.0,    5.4,   11.4,    5.6
 1970.0,   10.0,   23.0,  296.0,    4.5,    5.1,    5.0,    4.1,    4.8
 1970.0,   10.0,   24.0,  297.0,    5.6,    7.0,    6.0,    2.0,    2.6
 1970.0,   10.0,   25.0,  298.0,    6.4,    9.8,    9.2,    4.3,    9.4
 1970.0,   10.0,   26.0,  299.0,    5.7,    5.7,    6.5,    3.9,    5.7
 1970.0,   10.0,   27.0,  300.0,    5.4,    9.0,    9.8,   10.6,    7.9
 1970.0,   10.0,   28.0,  301.0,    5.1,    6.2,    5.9,    4.4,    7.8
 1970.0,   10.0,   29.0,  302.0,    5.7,    5.4,    5.7,    7.0,    8.3
 1970.0,   10.0,   30.0,  303.0,    6.3,   12.4,    9.1,    2.5,    4.6
 1970.0,   10.0,   31.0,  304.0,    7.1,    8.9,   10.5,   21.9,   12.7
 1970.0,   11.0,    1.0,  305.0,   46.8,   13.8,    7.9,    3.8,    3.3
 1970.0,   11.0,    2.0,  306.0,    6.3,    6.0,    7.0,    2.8,    4.3
 1970.0,   11.0,    3.0,  307.0,    8.5,    8.7,    7.8,    4.0,    4.5
 1970.0,   11.0,    4.0,  308.0,    5.3,    5.2,    5.9,    4.4,    4.4
 1970.0,   11.0,    5.0,  309.0,    7.7,    7.9,    6.7,    4.1,    4.9
 1970.0,   11.0,    6.0,  310.0,    4.5,    4.7,    6.0,    1.2,    4.3
 1970.0,   11.0,    7.0,  311.0,    5.2,    7.3,    9.0,    2.0,    5.4
 1970.0,   11.0,    8.0,  312.0,    6.7,    6.3,    7.1,    4.4,    5.1
 1970.0,   11.0,    9.0,  313.0,    8.7,    6.8,    7.3,    1.4,    4.6
 1970.0,   11.0,   10.0,  314.0,    5.9,    6.7,    7.2,    5.0,    4.2
 1970.0,   11.0,   11.0,  315.0,    8.6,    8.1,   10.4,    7.5,    6.4
 1970.0,   11.0,   12.0,  316.0,    7.8,    8.3,    8.4,    9.8,    6.6
 1970.0,   11.0,   13.0,  317.0,    5.6,    6.7,    7.2,    4.9,    5.5
 1970.0,   11.0,   14.0,  318.0,    4.8,    4.7,    6.2,    3.9,    3.0
 1970.0,   11.0,   15.0,  319.0,    5.3,    5.1,    5.8,    4.2,    7.0
 1970.0,   11.0,   16.0,  320.0,    8.2,    7.6,    8.7,    4.6,    5.1
 1970.0,   11.0,   17.0,  321.0,    3.8,    5.2,    4.5,    1.7,    4.9
 1970.0,   11.0,   18.0,  322.0,    6.5,    8.7,    8.6,    2.3,    6.4
 1970.0,   11.0,   19.0,  323.0,    5.4,    5.5,    5.4,    3.4,    4.3
 1970.0,   11.0,   20.0,  324.0,    4.8,    5.4,    6.7,    2.1,    4.3
 1970.0,   11.0,   21.0,  325.0,    5.2,    9.8,    8.3,    1.9,    6.6
 1970.0,   11.0,   22.0,  326.0,    7.0,    9.6,   10.7,    5.0,    4.5
 1970.0,   11.0,   23.0,  327.0,    5.6,    7.0,    5.9,    3.8,    3.8
 1970.0,   11.0,   24.0,  328.0,    8.1,    8.4,   10.2,    6.3,    6.5
 1970.0,   11.0,   25.0,  329.0,    9.0,    9.2,    8.5,    6.3,    5.4
 1970.0,   11.0,   26.0,  330.0,    7.3,    8.3,    7.2,    9.3,    7.2
 1970.0,   11.0,   27.0,  331.0,    8.0,    7.9,    8.1,    6.2,    5.5
 1970.0,   11.0,   28.0,  332.0,    6.7,    7.5,    9.9,    4.4,    7.6
 1970.0,   11.0,   29.0,  333.0,    5.4,    5.6,    5.2,    3.5,    3.3
 1970.0,   11.0,   30.0,  334.0,    6.6,    9.8,    8.0,    7.8,    5.9
 1970.0,   12.0,    1.0,  335.0,   26.3,   16.8,   20.3,    7.5,    6.8
 1970.0,   12.0,    2.0,  336.0,    4.4,    5.0,    5.0,    8.1,    6.7
 1970.0,   12.0,    3.0,  337.0,    4.6,    6.5,    5.8,    2.9,    3.1
 1970.0,   12.0,    4.0,  338.0,    8.3,    8.3,   11.9,    3.7,    6.8
 1970.0,   12.0,    5.0,  339.0,    5.5,    6.7,    8.5,    8.8,    7.1
 1970.0,   12.0,    6.0,  340.0,    5.1,    7.5,    5.1,    1.5,    4.9
 1970.0,   12.0,    7.0,  341.0,    4.0,    5.1,    5.5,    1.1,    2.0
 1970.0,   12.0,    8.0,  342.0,   10.2,    9.0,    8.7,    1.4,    5.6
 1970.0,   12.0,    9.0,  343.0,    4.6,    6.2,    6.4,    1.0,    4.1
 1970.0,   12.0,   10.0,  344.0,    9.1,    8.8,    7.4,    2.4,    2.4
 1970.0,   12.0,   11.0,  345.0,    6.1,    5.5,    8.4,    2.8,    4.6
 1970.0,   12.0,   12.0,  346.0,    4.7,    4.8,    5.4,    1.6,    3.6
 1970.0,   12.0,   13.0,  347.0,    6.0,    6.5,    6.5,    5.3,    4.8
 1970.0,   12.0,   14.0,  348.0,    7.1,    7.3,    4.3,    2.1,    4.6
 1970.0,   12.0,   15.0,  349.0,    6.8,    6.2,    8.2,    3.6,    3.1
 1970.0,   12.0,   16.0,  350.0,    4.4,    4.5,    5.0,    4.8,    5.0
 1970.0,   12.0,   17.0,  351.0,    6.7,    6.9,    8.8,    4.5,    8.4
 1970.0,   12.0,   18.0,  352.0,    8.2,    7.0,    8.4,    1.8,    3.3
 1970.0,   12.0,   19.0,  353.0,    7.4,    7.8,    6.6,    4.6,    3.3
 1970.0,   12.0,   20.0,  354.0,    7.1,    9.0,    7.8,    3.9,    3.7
 1970.0,   12.0,   21.0,  355.0,    4.8,    6.1,    5.0,    3.2,    3.2
 1970.0,   12.0,   22.0,  356.0,    7.5,    6.0,    5.8,    6.7,    5.8
 1970.0,   12.0,   23.0,  357.0,    5.2,    6.5,    7.9,    9.3,    8.7
 1970.0,   12.0,   24.0,  358.0,    7.4,    9.6,   10.4,    5.4,    6.4
 1970.0,   12.0,   25.0,  359.0,    7.3,    8.7,    8.7,    3.1,    6.0
 1970.0,   12.0,   26.0,  360.0,    8.1,    9.2,    7.7,    1.9,    4.3
 1970.0,   12.0,   27.0,  361.0,    5.8,    7.5,    7.3,    7.0,    6.8
 1970.0,   12.0,   28.0,  362.0,    4.6,    5.6,    5.9,    9.8,    7.8
 1970.0,   12.0,   29.0,  363.0,    7.0,    5.6,    8.2,    0.9,    3.6
 1970.0,   12.0,   30.0,  364.0,    6.4,    8.0,    6.1,    1.4,    3.6
 1970.0,   12.0,   31.0,  365.0,    8.7,    6.5,    7.1,    4.6,    4.2
